Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",29.616400,-15.697200,180.000000,top
"C2","0.1uF","C_0402_1005Metric",29.616400,-16.713200,180.000000,top
"C3","0.1uF","C_0402_1005Metric",29.616400,-17.703800,180.000000,top
"C4","10uF","C_0805_2012Metric",19.202400,-13.004800,180.000000,top
"R1","10000","R_0402_1005Metric",29.618400,-13.614400,180.000000,top
"R2","4700","R_0402_1005Metric",29.618400,-14.630400,0.000000,top
"RN1","4x75R","R_Array_Concave_4x0603",19.361200,-15.919600,0.000000,top
"U1","THS7374","TSSOP-14_4.4x5mm_P0.65mm",24.808100,-14.929600,180.000000,top
